Words,Language
Oo,English
anna,Kannada
ninna,Tulu
pukuli,Tulu
naddh,Tulu
korpa,Tulu
.,sym
shivam,Name
music,English
movie,English
please,English
release,English
manpule,Tulu
YouTube,English
.,sym
Avu,Tulu
chappe,Tulu
neer,Tulu
ath,Tulu
akka,Kannada
chavli,Tulu
neer,Tulu
.,sym
purNimaa,Name
named,Mixed
girls,English
are,English
papa,Tulu
girls,English
.,sym
CK,Name
Sir,English
na,Tulu
kannd,Tulu
line,English
haakuna,Tulu
samase,Tulu
baari,Tulu
comedy,English
apundu,Tulu
life,English
is,English
jingalala,Kannada
.,sym
Pura,Tulu
super,English
ayyappa,Name
swamy,Name
na,Tulu
comedy,English
borchi,Tulu
ethnda,Tulu
.,sym
dhanyavaada,Kannada
namma,Kannada
kuDla,Location
.,sym
Are,English
waa,English
daami,Tulu
best,English
wishes,English
.,sym
iamchane,Tulu
niglena,Tulu
progrem,English
eDDe,Tulu
baraD,Tulu
.,sym
Kaapikadren,Tulu
acting,English
pandh,Tulu
yerla,Tulu
panayer,Tulu
.,sym
Bari,Tulu
malla,Tulu
meen,Tulu
pathiyar,Tulu
.,sym
Sprb,English
Edde,Tulu
gammath,Tulu
mare,Tulu
.,sym
Bhari,Tulu
porlu,Tulu
aand,Tulu
.,sym
Love,English
you,English
dodda,Tulu
.,sym
Mangala,Kannada
mukinaglna,Tulu
malpule,Tulu
vara,Tulu
akulene,Tulu
lethdu,Tulu
aglna,Tulu
kastanu,Tulu
kenle,Tulu
pls,English
.,sym
Daiva,Tulu
dever,Tulu
na,Tulu
Visaya,Kannada
d,Tulu
comedy,English
daye,Tulu
malpuvar,Tulu
.,sym
Are,English
rikshawalewt,Other
an,English
acting,English
.,sym
water,English
Nandalike,Location
eth,Tulu
famous,English
aapa,Tulu
mararaya,Tulu
I,English
love,English
your,English
show…best,English
of,English
luck…,English
.,sym
Bojaraj,Name
sir,English
cmdy,English
.,sym
anna,Kannada
every,English
weekg,Mixed
new,English
contentn,Mixed
padva,Tulu
pandu,Tulu
getondar,Tulu
.,sym
Deepak,Name
anna,Kannada
tulunaada,Location
comedy,English
king,English
dever,Tulu
korthuna,Tulu
gift,English
Er,Tulu
tulunaadg,Tulu
.,sym
full,English
upload,English
malple,Tulu
.,sym
Comidiy,English
atth,Tulu
yedde,Tulu
ijji,Tulu
.,sym
Onje,Tulu
episode,English
d,Tulu
team,English
yencha,Tulu
final,English
entry,English
pictrs,English
yencha,Tulu
.,sym
eer,Tulu
kukkuda,Tulu
kajipud,Tulu
undare,Tulu
appee,Tulu
.,sym
Ilik,English
